ID,Auth1_prijm,Auth1_jmeno,Titul,nakladatelstvi,kategorie,Podtitul,edice,Auth2_prijm,Auth2_jmeno,Auth3_prijm,Auth3_jmeno,p_stran,rok_vydani,umisteni,ISBN,EAN,misc,svazek,odkaz,nahled,obrazek,adr
268,Katz,Sandor Ellix,Síla přírodní fermentace,GRADA,400,,,,,,,255,2015,,978-80-271-3029-0,,,,,,,https://www.databazeknih.cz/knihy/sila-prirodni-fermentace-455006
269,Jonáš,Josef,Tvoje strava je tvůj osud,EMINENT,510,"Příčiny, souvislosti, důsledky a možnosti řešení nemocí a problémů spojených s jídlem",,Kuchař,Jiři,,,439,2015,,978-80-7281-501-2,,,,,,,https://www.databazeknih.cz/knihy/tvoje-strava-je-tvuj-osud-266971
270,Schrötter,Josef,Ozdravení těla i ducha,EMINENT,510,Rady a recepty,,,,,,242,2015,,978-80-7281-496-1,,,,,,,https://www.databazeknih.cz/knihy/ozdraveni-tela-i-ducha-272783
271,Chia,Mantak,Tao a léčivá energie,PRAGMA,510,Základní kniha taoistické esoterické jógy,,,,,,206,1983,,80-7205-004-4,,,,,,,https://www.databazeknih.cz/knihy/tao-a-leciva-energie-113366
272,Tajboš,Jan,Posvátná místa přírody,FONTÁNA,400,Kosmos Pražské krajiny,,,,,,128,2007,,978-80-7339-391-8,,,,,,,https://www.databazeknih.cz/knihy/posvatna-mista-prirody-121238
273,Kaisen,Mistr,Trilogie mistů zenu,FONTÁNA,520,Zen pro 21. století,,,,,,98,1999,,80-7336-165-5,,,,,,,https://www.databazeknih.cz/knihy/trilogie-mistru-zenu-120783
274,Harrison,Harry,"Bill, galaktický hrdina - Na planetě tisíce barů",AND CLASSIC,540,,,Bischoff,David,,,154,1996,,80-85782-56-1,,,,,,,https://www.databazeknih.cz/knihy/bill-galakticky-hrdina-na-planete-tisice-baru-28312
275,Donnelly,Ignatius,Atlantis,Jaroslav Lukavský,550,Svět předpotopní,,,,,,,1924,,X,,,,,,,
276,Sitchin,Zecharia,Dvanáctá planeta,DOBRA,400,Radikální teorie o původu Země a nebeských předcích člověka,,,,,,447,2006,,80-86459-50-0,,,,,,,https://www.databazeknih.cz/knihy/kronika-zeme-dvanacta-planeta-23948
277,Lethbridge,T. C.,Síla kyvadla,Emitos - Tomáš Janeček,550,,,,,,,,1995,,80-85880-07-5,,,,,,,https://www.databazeknih.cz/knihy/sila-kyvadla-332766
278,*,,Voda v pohybu - úžas v nás,MALVERN,400,Pozorování a pokusy,,,,,,,,,978-80-7530-069-0,,,,,,,https://www.databazeknih.cz/knihy/voda-v-pohybu-uzas-v-nas-pozorovani-a-pokusy-338542
279,Žert,Vlastimil,Geomantie včera a dnes,POZNÁNÍ,400,aneb začátečníkův průvodce po mítech svatých a klatých,,,,,,109,2003,,80-86606-14-7,,,,,,,https://www.databazeknih.cz/knihy/geomantie-vcera-a-dnes-aneb-zacatecnikuv-pruvodce-po-mistech-svatych-a-klatych-117856
280,Veselý,Josef,Zrnka moudrosti,VODNÁŘ,550,Příběhy ze života Mistra,,,,,,88,2002,,80-86226-36-0,9788086226361,,,,,,https://www.databazeknih.cz/knihy/zrnka-moudrosti-pribehy-ze-zivota-mistra-100962
281,Sade,D.A.F. markýz de,Povídky,DYBBUK,540,,,,,,,108,2009,,978-80-86862-80-4,9788086862804,,,,,,https://www.databazeknih.cz/knihy/povidky-57338
282,Bahbouh,Charif,"Turecká, perská a arabská přísloví a mudrosloví",DAR IBN RUSHD,530,,,Kopecký,René,,,128,2013,,9768086149820,9788086149820,,,,,,https://www.databazeknih.cz/knihy/turecka-perska-a-arabska-prislovi-a-mudroslovi-252496
283,Lípa,Jan,Učení Fráni Drtikola,SVĚT,510,Od čakramů k nemyšlení,,,,,,112,2014,,80-85905-07-8,9788087201084,,,,,,https://www.databazeknih.cz/knihy/sila-moudrosti-interpretace-uceni-frani-drtikola-156725
284,Ford,Sarah,50 ways to kill a slug,HAMLYN,520,,,,,,,96,2006,,80-7359-004-2,,,,,,,https://www.databazeknih.cz/knihy/jak-zatocit-se-slimaky-106220
285,Lexa,František,Náboženská literatura staroegyptská,HERMANN,540,,,,,,,242,1997,,X,,,,,,,https://www.databazeknih.cz/knihy/nabozenska-literatura-staroegyptska-304160
286,Bennet,John,Jak děláme věci,MALVERN,550,Přednášky o kreativitě a vědomém využívání lidské energie,,Janicki,Marko,,,80,2013,,978-80-87580-57-8,9788087580578,,,,,,https://www.databazeknih.cz/knihy/jak-delame-veci-179589
287,Navrátil,Jiří,Aštávakragíta,AVATAR,530,Staroindická filosofická báseň,,,,,,91,1994,,X,9788085862539,,,,,,https://www.databazeknih.cz/dalsi-vydani/astavakragita-265934
288,Compton,Margaret,American Indian Fairy Tales / Pohádky amerických indiánů,GARAMOND,540,,,,,,,208,2015,,9788074072529,9788074072529,,,,,,https://www.databazeknih.cz/knihy/pohadky-americkych-indianu-314642
289,Whitefield,Patrick,Permakultura v kostce,SYNERGIE,520,,,,,,,115,1996,,80-901797-4-6,9788090179745,,,,,,https://www.databazeknih.cz/knihy/permakultura-v-kostce-92180
290,Mikuláš,Radek,Blijící lišky a jiná zvěrstva,DOKOŘÁN,540,,,,,,,112,2010,,978-80-7363-319-6,9788073633196,,,,,,https://www.databazeknih.cz/knihy/blijici-lisky-a-jina-zverstva-46547
291,Hillel-Erlangerová,Irene,Cestování kaleidoskopem,MALVERN,550,,,,,,,148,2011,,X,9788086702926,,,,,,
292,Martineau,,Malá kniha velkých náhod,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-096-6,,,,,,,https://www.databazeknih.cz/knihy/mala-kniha-velkych-nahod-246411
293,Tetlow,,Keltské vzory,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-693-7,,,,,,,https://www.databazeknih.cz/knihy/keltske-vzory-284382
294,Watkins,,Nepostradatelné matematické a fyzikální vzorce,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-738-5,,,,,,,https://www.databazeknih.cz/knihy/nepostradatelne-matematicke-a-fyzikalni-vzorce-283880
295,Polster,Bukard,Q. E. D.,DOKOŘÁN,550,Krása matematického důkazu,Pergamen,,,,,,,,978-80-7363-672-2,,,,,,,https://www.databazeknih.cz/knihy/q-e-d-233507
296,Ashton,,Harmonograf,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-668-5,,,16,,,,https://www.databazeknih.cz/knihy/harmonograf-236741
297,Lundyová,,Posvátná geometrie,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-565-7,,,,,,,https://www.databazeknih.cz/knihy/posvatna-geometrie-168491
298,Wade,David,Symetrie,DOKOŘÁN,550,Základní princip uspořádanosti,Pergamen,,,,,,,,978-80-7363-410-0,,,,,,,https://www.databazeknih.cz/knihy/symetrie-zakladni-princip-usporadani-190308
299,Sutton,,Islámský design,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-674-6,,,,,,,https://www.databazeknih.cz/knihy/islamsky-design-233504
300,Betts,,Liské tělo,DOKOŘÁN,550,Zázrak přírody,Pergamen,,,,,,,,978-80-7363-614-2,,,15,,,,https://www.databazeknih.cz/knihy/lidske-telo-zazrak-prirody-261796
301,,,"Slunce, Měsíc a Země",DOKOŘÁN,550,,Pergamen,,,,,64,2015,,978-80-7363-690-6,,,18,,,,https://www.databazeknih.cz/knihy/slunce-mesic-a-zeme-262793
302,,,Záhadný zlatý řez,DOKOŘÁN,550,,Pergamen,,,,,68,2013,,978-80-7363-566-4,,,,,,,https://www.databazeknih.cz/dalsi-vydani/zahadny-zlaty-rez-261566
303,,,Vnitřní bdělost,PRAGMA,510,,,,,,,271,2009,,978-80-7205-051-2,,,,,,,https://www.databazeknih.cz/knihy/vnitrni-bdelost-51450
304,,,Sfinga,PRAGMA,530,,,,,,,188,2012,,978-80-7349-302-8,,,,,,,https://www.databazeknih.cz/knihy/sfinga-the-sphinx-478983
305,Kalpur,Daryai Lal,Rozhovory s velkým mistrem,VOTOBIA,510,,,,,,,192,,,80-7198-503-1,,,,,,,https://www.databazeknih.cz/knihy/rozhovory-s-velkym-mistrem-432438
306,Teresi,Dick,Ztracené objevy,ALBATROS,550,,,,,,,402,2004,,80-00-01447-5,,,,,,,https://www.databazeknih.cz/knihy/ztracene-objevy-58336
307,Sitchin,Zecharia,Výpravy do mýtické minulosti,FONTÁNA,540,,,,,,,286,2004,,80-7336-238-4,,,,,,,https://www.databazeknih.cz/knihy/vypravy-do-myticke-minulosti-54521
308,Liška,Vladimír,Magická místa České republiky,ALPRESS,550,,,,,,,192,2011,,978-80-7362-943-4,,,,,,,https://www.databazeknih.cz/knihy/magicka-mista-ceske-republiky-96580
309,Vašíček,Arnošt,Záhady Číny a Tibetu,MYSTERY FILM,550,,,,,,,168,2007,,80-254-0235-5,,,,,,,https://www.databazeknih.cz/knihy/zahady-ciny-a-tibetu-9670
310,Česal,Aleš,Záhady staré Prahy,LEVNÉ KNIHY,550,,,,,,,208,2002,,978-80-7309-775-2,,,,,,,https://www.databazeknih.cz/knihy/zahady-stare-prahy-73889
311,Česal,Aleš,Toulky tajemnými místy Čech,XYZ,550,,,,,,,356,2008,,978-80-87021-41-5,,,,,,,https://www.databazeknih.cz/knihy/toulky-tajemnymi-misty-cech-21330
312,Sládek,Milan,Největší české záhady,XYZ,550,,,,,,,250,2009,,978-80-7388-152-8,,,,,,,https://www.databazeknih.cz/knihy/nejvetsi-ceske-zahady-vladci-demonu-32765
313,Rovner,Arkadij B.,Nebeské příbytky,MALVERN,550,,,,,,,239,2013,,978-80-87580-36-3,,,,,,,https://www.databazeknih.cz/knihy/nebeske-pribytky-277929
314,Kefer,Jan,Syntetická magie,TRIGON,550,,,,,,,,,,80-85320-18-5,,,,,,,https://www.databazeknih.cz/knihy/synteticka-magie-72499
315,Gore,Al,Země na misce vah,ARGO,400,Ekologie a lidský duch,,,,,,374,2000,,80-7203-310-7,,,,,,,https://www.databazeknih.cz/knihy/zeme-na-misce-vah-31283
316,Wiesner,Ivo,Do ráje projdeš peklem I.,AOS PUBLISHING,550,,,,,,,,,,978-80-87624-16-6,,,,,,,https://www.databazeknih.cz/knihy/do-raje-projdes-peklem-1-181690
317,Wiesner,Ivo,Do ráje projdeš peklem II.,AOS PUBLISHING,550,,,,,,,,,,978-80-87624-17-3,,,,,,,https://www.databazeknih.cz/knihy/do-raje-projdes-peklem-2-181723
318,Newman,,Pozemské sítě,DOKOŘÁN,550,,Pergamen,,,,,,,,978-80-7363-786-6,,,,,,,https://www.databazeknih.cz/knihy/pozemske-site-306129
319,Creightmore,,Feng-Šuej,DOKOŘÁN,550,,,,,,,,,,978-80-7363-673-9,,,,,,,https://www.databazeknih.cz/knihy/feng-suej-233508
320,Eliade,Mircea,Šamanismus a archaické techniky extáze,ARGO,540,,CapriCorn,,,,,,,,978-80-257-2082-0,,,,,,,https://www.databazeknih.cz/knihy/samanismus-a-archaicke-techniky-extaze-348586
321,Lévy-Bruhl,Lucien,Myšlení člověka primitivního,ARGO,540,,CapriCorn,,,,,,,,80-7203-243-7,,,,,,,https://www.databazeknih.cz/knihy/mysleni-cloveka-primitivniho-99711
322,Perrin,Michel,Cesta mrtvých indiánů,ARGO,540,,CapriCorn,,,,,,,,80-7203-298-4,,,,,,,https://www.databazeknih.cz/knihy/cesta-mrtvych-indianu-46032
323,De Martino,Ernesto,Magický svět,ARGO,540,,CapriCorn,,,,,,,,80-7203-480-4,,,,,,,https://www.databazeknih.cz/knihy/magicky-svet-85947
324,Soustelle,Jacques,Čtvero sluncí,ARGO,540,Mexické vzpomínky a úvahy jednoho etnologa,CapriCorn,,,,,,,,80-7203-283-6,,,,,,,https://www.databazeknih.cz/knihy/ctvero-slunci-57415
325,Jaulin,Robert,Smrt u lidu Sara,ARGO,540,,CapriCorn,,,,,,,,80-7203-495-2,,,,,,,https://www.databazeknih.cz/knihy/smrt-u-lidu-sara-78400
326,Clastres,Pierre,Kronika indiánů Guayakí,ARGO,540,,CapriCorn,,,,,,,,80-7203-430-8,,,,,,,https://www.databazeknih.cz/knihy/kronika-indianu-guayaki-76203
327,Bastide,Roger,Bahijské kandomble,ARGO,540,,CapriCorn,,,,,,,,80-7203-494-4,,,,,,,https://www.databazeknih.cz/knihy/bahijske-kandomble-99710
328,Zbavitel,Dušan,Mahabharáta,ARGO,540,,,,,,,,,,978-80-257-0364-9,,,,,,,https://www.databazeknih.cz/dalsi-vydani/mahabharata-aneb-velky-boj-188004
329,Miltner,Vladimír,Ramajána,ARGO,540,aneb Velký boj,,,,,,,,,978-80-257-1410-2,,,,,,,https://www.databazeknih.cz/dalsi-vydani/ramajana-254729
330,Klíma,Vladimír,Dobrří duchové a démoni,ARGO,540,Západoafrické mýty a bajky,,,,,,,,,80-7203-549-5,,,,,,,https://www.databazeknih.cz/knihy/dobri-duchove-a-demoni-zapadoafricke-myty-a-bajky-13596
331,Martínková,Jana,"O zlatém vejci, Brahmovi a vesmírných světech",ARGO,540,Mýty starých indů,,,,,,,,,978-80-257-0301-4,,,,,,,https://www.databazeknih.cz/knihy/o-zlatem-vejci-brahmovi-a-vesmirnych-svetech-myty-starych-indu-41228
332,Janda,Petr,Pomsta hadů,ARGO,540,Mýty tchajwanských domorodců,,,,,,,,,978-80-257-0328-1,,,,,,,https://www.databazeknih.cz/knihy/pomsta-hadu-myty-tchajwanskych-domorodcu-120520
333,Eliade,Mircea,Jóga,ARGO,510,nesmrtelnost a svoboda,,,,,,,,,80-7203-092-2,,,,,,,https://www.databazeknih.cz/knihy/joga-nesmrtelnost-a-svoboda-323386
334,Wiesner,Ivo,Do ráje projdeš peklem 1.,AOS PUBLISHING,550,,,,,,,,,,978-80-87624-16-6,,,,,,,https://www.databazeknih.cz/knihy/do-raje-projdes-peklem-1-181690
335,Wiesner,Ivo,Do ráje projdeš peklem 2.,AOS PUBLISHING,550,,,,,,,,,,978-80-87624-17-3,,,,,,,https://www.databazeknih.cz/knihy/do-raje-projdes-peklem-2-181723
336,Bardon,František,Brána k opravdovému zasvědcení,CHVOJKOVO,550,,,,,,,,,,80-86183-01-7,,,,,,,https://www.databazeknih.cz/dalsi-vydani/brana-k-opravdovemu-zasveceni-58381
337,Bardon,František,Frabato,CHVOJKOVO,550,,,,,,,,,,80-86183-07-6,,,,,,,https://www.databazeknih.cz/knihy/frabato-55638
338,Bardon,František,Otázky na mistra Ariona,CHVOJKOVO,550,,,,,,,,,,80-86183-14-5,,,,,,,https://www.databazeknih.cz/knihy/otazky-na-mistra-ariona-288690
339,Lumír,František,Vzpomínky na Františka Bardona,CHVOJKOVO,550,,,,,,,,,,80-901939-0-0,,,,,,,https://www.databazeknih.cz/knihy/vzpominky-na-frantiska-bardona-310558
340,Bardon,František,Klíč k opravdové kabale,CHVOJKOVO,550,,,,,,,,,,80-900887-9-1,,,,,,,https://www.databazeknih.cz/knihy/klic-k-opravdove-kabale-36367
341,Kirchhoff,Jochen,Vykoupení přírody a přirozenosti,MALVERN,400,Podněty pro kosmický obraz človška a základy duchovní ekologie,,,,,,,,,978-80-87580-25-7,,,,,,,https://www.databazeknih.cz/knihy/vykoupeni-prirody-a-prirozenosti-podnety-pro-kosmicky-obraz-cloveka-a-zaklady-duchovni-ekologie-138729
342,Bodanella,David,Wilhelm Reich: průkopník nového myšlení,MALVERN,550,,,,,,,,,,978-80-87580-51-6,,,,,,,https://www.databazeknih.cz/knihy/wilhelm-reich-prukopnik-noveho-mysleni-202317
343,Nakonečný,Milan,Neznámý filozof Louis-Claude de Saint-Martin,MALVERN,550,Martinismus kdysi a nyní,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/neznamy-filosof-louis-claude-de-saint-martin-23686
344,Blake,William,Pohlavím: Brány ráje,MALVERN,530,,,,,,,,,,978-80-87580-78-3,,,,,,,https://www.databazeknih.cz/knihy/pohlavim-brany-raje-215718
345,Warhol,Andy,Od A k B a zase zpátky,ARGO,530,aneb filozofie Warhola,,,,,,,,,978-80-257-1423-2,,,,,,,https://www.databazeknih.cz/knihy/od-a-k-b-a-zase-zpatky-filosofie-andyho-warhola-261731
346,*,,Velká kniha výtvarné inspirace,CPRESS,520,,,,,,,,,,978-80-251-2071-2,,,,,,,https://www.databazeknih.cz/knihy/velka-kniha-vytvarne-inspirace-149822
347,Kroenke,David M.,Databáze,CPRESS,740,,,Auer,David J.,,,,,,978-80-251-4352-0,,,,,,,https://www.databazeknih.cz/knihy/databaze-238465
348,Lidwell,William,Univerzální principy designu,CPRESS,720,,,Holden,Kritina,Butler,Jill,,,,978-80-251-3540-2,,,,,,,https://www.databazeknih.cz/knihy/univerzalni-principy-designu-219519
349,Lacko,Luboslav,SQL,CPRESS,740,Sbírka nejlepších programátorských postupů a řešení,,,,,,,,,978-80-251-3010-0,,,,,,,https://www.databazeknih.cz/knihy/1001-tipu-a-triku-pro-sql-124814
350,Kameník,Pavel,Příkazový řádek v Linuxu,CPRESS,740,,,,,,,,,,978-80-251-2819-0,,,,,,,https://www.databazeknih.cz/knihy/prikazovy-radek-v-linuxu-148576
351,Predko,Myke,Digitální elektronika bez předchozích znalostí,CPRESS,740,,,,,,,,,,978-80-251-2124-5,,,,,,,https://www.databazeknih.cz/knihy/digitalni-elektronika-bez-predchozich-znalosti-pruvodce-pro-samouky-186230
352,Anderson,George W.,Naučte se SAP za 24 hodin,CPRESS,740,,,,,,,,,,978-80-251-3685-0,,,,,,,https://www.databazeknih.cz/knihy/naucte-se-sap-za-24-hodin-130868
353,Wróblewski,Piotr,Algoritmy,CPRESS,740,,,,,,,,,,978-80-251-4126-7,,,,,,,https://www.databazeknih.cz/knihy/algoritmy-362018
354,Pelánek,Radek,Programátorská cvičebnice,CPRESS,740,,,,,,,,,,978-80-251-3751-2,,,,,,,https://www.databazeknih.cz/knihy/programatorska-cvicebnice-231430
355,Henney,Kevlin,97 klíčových zanlostí programátora,CPRESS,740,,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/97-klicovych-znalosti-programatora-124978
356,Monson-Haefel,Richard,97 klíčových zanlostí softwarového architekta,CPRESS,740,,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/97-klicovych-znalosti-softwaroveho-architekta-124979
357,Petiška,Eduard,Staré řecké báje a pověsti,ARGO,540,,,,,,,,,,9788025720912,,,,,,,https://www.databazeknih.cz/dalsi-vydani/stare-recke-baje-a-povesti-423403
358,Kosek,Jiří,Big data a NoSQL databáze,GRADA,740,,,Holubová,Irena,,,,,,978-80-247-5466-6,,,,,,,https://www.databazeknih.cz/knihy/big-data-a-nosql-databaze-271283
359,Levy,Joel,Chemie bez (m)učení,GRADA,600,Od molekul k prvkům: chemie v každodenním životě,,,,,,,,,978-80-247-4126-0,,,,,,,https://www.databazeknih.cz/knihy/chemie-bez-m-uceni-143413
360,Aveni,Anthony,Schody ke hvězdám,DOKOŘÁN,530,,Aliter,,,,,,,,"80-7203-568-1, 80-86569-48-9",,,,,,,https://www.databazeknih.cz/knihy/schody-ke-hvezdam-34880
361,Johnson,George,Zkratka napříč časem,DOKOŘÁN,530,,Aliter,,,,,,,,"80-86569-83-7, 80-7203-609-2",,,,,,,https://www.databazeknih.cz/knihy/zkratka-napric-casem-25112
362,Stewart,Ian,Odsud až do nekonečna,DOKOŘÁN,530,,Aliter,,,,,,,,"80-7203-775-7, 80-7363-017-6",,,,,,,https://www.databazeknih.cz/knihy/odsud-az-do-nekonecna-25117
363,Strassman,Rick,Vnitřní cesty do vnějšího vesmíru,DYBBUK,550,Cesty do jiných světů prostřednictvím psychydelik a dalších spirituálních technik,,Wojtowicz,Slawek,Luna,Luis Eduardo,,,,978-80-7438-030-3,,,,,,,https://www.databazeknih.cz/knihy/vnitrni-cesty-do-vnejsiho-vesmiru-86118
364,,,Malá encyklopedie chémie,OBZOR,600,,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/mala-encyklopedie-chemie-330425
365,,,česko-anglický chemický slovník,SNTL,600,,,,,,,515,1989,,X,,,,,,,https://www.databazeknih.cz/knihy/cesko-anglicky-chemicky-slovnik-303682
366,Pánek,A.,Průvodce chemickými výrobky nejširší spotřeby,SNTL,600,,,Topinka,,Němec,,,,,04-620-78,,,,,,,https://www.databazeknih.cz/knihy/pruvodce-chemickymi-vyrobky-nejsirsi-spotreby-247429
367,Grosser,Meyer,Populární encyklopedie matematiky,SPN,600,,,,,,,,,,X,,,,,,,https://www.databazeknih.cz/knihy/popularni-encyklopedie-matematiky-193147
368,,,Sbírka řešených příkladů z vyšší matematiky,SNTL,600,,,,,,,688,1965,,16-064-65,,,,,,,https://www.databazeknih.cz/knihy/sbirka-resenych-prikladu-z-vyssi-matematiky-121827
369,,,Malá encyklopédia fyziky,OBZOR,600,,,,,,,509,1970,,X,,,,,,,https://www.databazeknih.cz/knihy/mala-encyklopedia-fyziky-352816
370,Nakonečný,Milan,Novodobý český hermetismus,EMINENT,550,,,,,,,,,,978-80-7281-327-8,,,,,,,https://www.databazeknih.cz/knihy/novodoby-cesky-hermetismus-23685
371,Maier,Michael,Atlanta Fugensis (prchající Atlanta),TRIGON,550,neboli nové chymické emblémy vyjadřující tajemství přírody,,,,,,,,,80-86159-60-4,,,,,,,https://www.databazeknih.cz/knihy/atalanta-fugiens-prchajici-atalanta-neboli-nove-chymicke-emblemy-vyjadrujici-tajemstvi-prirody-200197
372,Bárta,Miroslav,Civilizace a dějiny,ACADEMIA,530,Historie světa pohledem dvaceti českých vědců,,,,,,,,,978-80-200-2301-8,,,,,,,https://www.databazeknih.cz/knihy/civilizace-a-dejiny-181285
373,Giegner,Michael,Krystalová voda,EMINENT,400,,,Fliege,Jürgen,,,,,,978-80-7281-382-7,,,,,,,https://www.databazeknih.cz/knihy/krystalova-voda-54435
374,Emoto,Masaru,Léčivá síla vody,EMINENT,400,,,Goebel,Joachim,,,,,,80-7281-223-8,,,,,,,https://www.databazeknih.cz/knihy/leciva-sila-vody-66812
375,Emoto,Masaru,Zázračná moc vody,PRAGMA,400,,,,,,,,,,978-80-7349-152-9,,,,,,,https://www.databazeknih.cz/knihy/zazracna-moc-vody-66815
376,Herzán,Miroslav,Hledáme zdroje podzemní vody,FONTÁNA,400,,,,,,,,,,978-80-86179-69-9,,,,,,,https://www.databazeknih.cz/knihy/hledame-zdroje-podzemni-vody-120341
377,Cincibus,Josef,Toulky světem bájí,RADIOSERVIS,530,aneb s rozhlasem po stezkách mytologie,,Hromádko,Jiří,,,,,,978-80-86212-02-9,,,,,,,https://www.databazeknih.cz/knihy/toulky-svetem-baji-aneb-s-rozhlasem-po-stezkach-mytologie-47691
378,Emoto,Masaru,Tajuplný život vody,PRAGMA,400,,,,,,,,,,978-80-7349-235-9,,,,,,,https://www.databazeknih.cz/knihy/tajuplny-zivot-vody-332866
379,Emoto,Masaru,Zázračná voda,PRAGMA,400,,,,,,,,,,9788073492014,,,,,,,https://www.databazeknih.cz/knihy/zazracna-voda-66813
380,Bragg,Paul C.,Šokující pravda o vodě,FONTÁNA,400,,,Braggová,Particia,,,,,,80-86179-06-0,,,,,,,https://www.databazeknih.cz/knihy/sokujici-pravda-o-vode-29962
381,Kafka,Břetislav,Kultura rozumu a vůle,POZNÁNÍ,510,,,,,,,,,,978-80-87419-11-3,,,,,,,https://www.databazeknih.cz/knihy/kultura-rozumu-a-vule-88543
382,Kafka,Břetislav,Parapsycholgie,POZNÁNÍ,510,,,,,,,,,,978-80-87419-12-0,,,,,,,https://www.databazeknih.cz/knihy/parapsychologie-87226
383,Cílek,Václav,Poutník časem chaosu,ZEĎ,550,,,,,,,,,,978-80-906-5935-3,,,,,,,https://www.databazeknih.cz/knihy/poutnik-casem-chaosu-362373
384,Readová,Jane Thurnell,Geopatogenní zóny kolem nás,PRÁH,550,,,,,,,,,,X,,,,,,,
385,Stejskal,Martin,Cesty za hvězdou,PASEKA,550,,,,,,,,,,80-7185-374-7,,,,,,,https://www.databazeknih.cz/knihy/cesty-za-hvezdou-147660
386,Markoš,Anton,Tajemství hladiny,DOKOŘÁN,550,,,,,,,,,,80-86569-47-5,,,,,,,https://www.databazeknih.cz/knihy/tajemstvi-hladiny-34178
387,Rohrbach,Christof,Radiestezie,POZNÁNÍ,550,,,,,,,,,,80-86606-54-6,,,,,,,https://www.databazeknih.cz/knihy/radiestezie-200191
388,Bienik,Ján,Geopatogenní zóny,EKO-KONZULT,550,,,,,,,,,,80-888809-57-6,,,,,,,https://www.databazeknih.cz/knihy/geopatogenni-zony-119620
389,Telch,Petr,Tajemství dračích žil,EKO-KONZULT,550,,,,,,,,,,80-967157-4-7,,,,,,,https://www.databazeknih.cz/knihy/tajemstvi-dracich-zil-300761
390,Kefer,Jan,Theurgie magické evokace,TRIGON,550,,,,,,,,,,80-85320-15-0,,,,,,,https://www.databazeknih.cz/knihy/theurgie-magicke-evokace-245432
391,Benedictová,Ruth,Kulturní vzorce,ARGO,550,,CapriCorn,,,,,,,,80-7203-212-7,,,,,,,https://www.databazeknih.cz/knihy/kulturni-vzorce-35197
392,Fagerstrom,Darek,Jak na to!,SVOJTKA,520,Rady do života,,Smith,Lauren,,,,,,978-80-256-0039-9,,,,,,,https://www.databazeknih.cz/knihy/jak-na-to-341965
393,,,Svět mýtů,VOLVOX GLOBATOR,530,,Historie,,,,,556,2002,,80-7207-461-X,,,,,,,https://www.databazeknih.cz/knihy/svet-mytu-136615
394,,,Tibetské mýty a legendy,VOLVOX GLOBATOR,530,,Historie,,,,,200,2001,,80-7207-380-X,,,,,,,https://www.databazeknih.cz/knihy/tibetske-myty-a-legendy-98836
395,,,"Bohové, démoni a symboly starověké mezopotámie",VOLVOX GLOBATOR,530,,Historie,,,,,232,1999,,80-7207-266-8,,,,,,,https://www.databazeknih.cz/knihy/bohove-demoni-a-symboly-staroveke-mezopotamie-36990
396,,,Egyptské hieroglyfy,VOLVOX GLOBATOR,530,Čtení v minulosti,Litera,,,,,87,2002,,80-7207-431-8,,,1,,,,https://www.databazeknih.cz/knihy/egyptske-hieroglyfy-cteni-v-minulosti-28756
397,,,Jak číst egyptské hieroglyfy,VOLVOX GLOBATOR,530,,Litera,,,,,240,2007,,80-7207-629-9,,,4,,,,https://www.databazeknih.cz/knihy/jak-cist-egyptske-hieroglyfy-28757
398,,,S Theodorem o hieroglyfech,VOLVOX GLOBATOR,530,,Litera,,,,,336,2011,,978-80-7207-833-2,,,5,,,,https://www.databazeknih.cz/knihy/s-theodorem-o-hieroglyfech-98504
399,,,S Theodorem nejen o hieroglyfech,VOLVOX GLOBATOR,530,,Litera,,,,,160,2012,,978-80-7207-845-5,,,6,,,,https://www.databazeknih.cz/knihy/s-theodorem-nejen-o-hieroglyfech-141228
400,,,Encyklopedie jazyků evropy,VOLVOX GLOBATOR,530,,Litera,,,,,510,2002,,80-7207-450-4,,,2,,,,https://www.databazeknih.cz/knihy/encyklopedie-jazyku-evropy-37381
401,Donnelly,,O parazitech a lidech,TRITON,400,,,,,,,,,,978-80-7553-350-0,,,,,,,https://www.databazeknih.cz/knihy/o-parazitech-a-lidech-355696
402,,,Cesty do posvátné hory,VOLVOX GLOBATOR,530,,Mythos,,,,,290,2010,, 978-80-7207-756-4,,,,,,,https://www.databazeknih.cz/knihy/cesty-do-posvatne-hory-47683
403,,,Mýty a legendy Yakiů,VOLVOX GLOBATOR,530,,Mythos,,,,,112,2011,,978-80-7207-803-5,,,,,,,https://www.databazeknih.cz/knihy/myty-a-legendy-yakiu-79472
404,Bor,D. Ž.,Abeceda stvoření,TRIGON,550,,,,,,,240,1993,,80-85320-37-1,,,,,,,https://www.databazeknih.cz/knihy/abeceda-stvoreni-62587
